Метод отбора в новую популяцию,Метод отбора родителей,Вероятность мутации,Величина популяции,Среднее кол-во поколений, Средняя величина ошибки, Количество ошибочных запусков
ROULETTE_WHEEL,TRUNCATION,0.01,50,14,0.018265402,0
ROULETTE_WHEEL,TOURNAMENT,0.01,50,14,0.018257865,0
ROULETTE_WHEEL,TRUNCATION,0.1,50,14,0.022817971,0
ROULETTE_WHEEL,TOURNAMENT,0.1,50,13,0.018268486,0
PANMIXIA,TRUNCATION,0.01,50,14,0.022835578,0
PANMIXIA,TOURNAMENT,0.01,50,14,0.027372616,0
PANMIXIA,TRUNCATION,0.1,50,14,0.031915957,0
PANMIXIA,TOURNAMENT,0.1,50,14,0.013772747,0
ROULETTE_WHEEL,TRUNCATION,0.01,200,14,0.027357363,0
ROULETTE_WHEEL,TOURNAMENT,0.01,200,14,0.013707676,0
ROULETTE_WHEEL,TRUNCATION,0.1,200,13,0.027360267,0
ROULETTE_WHEEL,TOURNAMENT,0.1,200,14,0.036464272,0
PANMIXIA,TRUNCATION,0.01,200,13,0.045556867,0
PANMIXIA,TOURNAMENT,0.01,200,13,0.022808064,0
PANMIXIA,TRUNCATION,0.1,200,14,0.004649705,0
PANMIXIA,TOURNAMENT,0.1,200,14,0.01827204,0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,Я,
